Site,SubSite,CaptureDate,Species,IndividualID,SVLmm,Sex,Age,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
SMNWR_W,SMNWR3001,11/9/2019,AMCI,AC-484,55,F,A,5.32,N,,,,,,,0,0,,
SMNWR_E,SMNWR0145,12/7/2017,AMCI,AC-254,66,F,A,5.30,Y,0,1603000303,neg,0,,,0,0,,
SMNWR_E,SMNWR0145,11/17/2018,AMCI,AC-458,54,F,A,5.3,N,,,,,,Recapture; Gravid,0,0,,
SMNWR_W,SMNWR3001,12/6/2017,AMCI,AC-252,67,M,A,5.29,Y,1,1603000295,,,,PERFECT SPECIMEN,0,0,,
SMNWR_E,SMNWR1601,11/3/2018,AMCI,AC-074,58,M,A,5.28,N,,,,,,Recapture,0,0,,
SMNWR_W,SMNWR3001,11/21/2017,AMCI,AC-240,65,U,A,5.27,N,,,,,,"fat, but no eggs when candled",0,0,,
SMNWR_E,SMNWR1601,12/14/2020,AMCI,AC-527,65,F,A,5.25,Y,0,1903700396,neg,0,,,0,0,,
SMNWR_E,SMNWR1601,10/28/2017,AMCI,AC-187,64,U,A,5.23,Y,1,1603000475,,,,,0,0,,
SMNWR_E,SMNWR1601,12/18/2017,AMCI,AC-270,64,F,A,5.23,Y,0,1603000211,neg,0,,489779?,0,0,,
SMNWR_E,SMNWR0145,12/7/2017,AMCI,AC-237,72,F,A,5.18,Y,0,1603000194,neg,0,,Recapture,0,0,,
SMNWR_E,SMNWR1601,11/21/2017,AMCI,AC-232,63,U,A,5.18,Y,1,1603000231,,,,"fat, but candled & no eggs",0,0,,
SMNWR_E,SMNWR0145,10/29/2017,AMCI,AC-119,55,M,A,5.13,Y,1,1603000414,,,,Recapture,0,0,,
SMNWR_E,SMNWR1601,10/28/2020,AMCI,AC-523,58,F,A,5.09,Y,0,1903700389,neg,0,,Gravid,0,0,,
SMNWR_E,SMNWR1601,12/16/2017,AMCI,AC-039,68,F,A,5.08,Y,0,1603000207,neg,0,,"Recapture; pos 3 VIE is just a pinprick, hard to say P/O",0,0,,
SMNWR_W,SMNWR3001,11/21/2017,AMCI,AC-239,62,M,A,5.05,N,,,,,,"slightly chunky, but swollen cloaca",0,0,,
SMNWR_E,SMNWR1601,11/3/2017,AMCI,AC-215,62,M,A,5.04,Y,1,1603000423,,,,,0,0,,
SMNWR_W,SMNWR3001,1/29/2018,AMCI,AC-252,65,M,A,5.00,Y,1,1701900001,,,,Recapture,0,0,,
SMNWR_W,SMNWR3001,11/16/2019,AMCI,AC-190,59,F,A,4.98,Y,0,1902300169,neg,0,,Recapture,0,0,,
SMNWR_W,SMNWR3001,1/13/2018,AMCI,AC-278,67,U,A,4.96,Y,1,1603000593,,,,,0,0,,
SMNWR_E,SMNWR1601,11/24/2017,AMCI,AC-249,67,F,A,4.96,Y,1,1603000291,,,,,0,0,,
SMNWR_E,SMNWR1601,10/29/2017,AMCI,AC-206,62,M,A,4.94,Y,1,1603000411,,,,,0,0,,
SMNWR_W,SMNWR3001,10/29/2017,AMCI,AC-198,65,M,A,4.92,N,,,,,,,0,0,,
SMNWR_W,SMNWR3001,12/14/2019,AMCI,AC-R005,67,F,A,4.85,Y,0,1902300191,neg,0,,Recapture; gravid; VIE read as Pyxx,0,0,,
SMNWR_E,SMNWR1601,12/5/2020,AMCI,AC-526,57,F,A,4.85,Y,0,1903700395,neg,0,,,0,0,,
SMNWR_E,SMNWR1601,1/11/2018,AMCI,AC-R004,62,U,A,4.84,Y,1,1603000600,,,,Recapture; metamorph from 3001? xxYx wasn't used until spring 2018 (batch mark at 1601)…could be headstart from pond 145 in 2016 (YxYx) or pond 134 in 2017 (xxYP),0,0,,
SMNWR_E,SMNWR1601,2/12/2021,AMCI,AC-531,56,F,A,4.84,Y,0,1903700490,neg,0,,Gravid,0,0,,
SMNWR_E,SMNWR0145,1/13/2018,AMCI,AC-280,64,U,A,4.82,Y,1,1603000591,,,,,0,0,,
SMNWR_E,SMNWR1601,10/29/2017,AMCI,AC-212,61,M,A,4.79,Y,1,1603000419,,,,,0,0,,
SMNWR_E,SMNWR0145,10/17/2017,AMCI,AC-177,58,M,A,4.79,Y,1,1603000465,,,,,0,0,,
SMNWR_E,SMNWR1601,5/18/2018,AMCI,AC-441,43,U,J,4.75,N,,,,,,tagged 5/18,0,0,,
SMNWR_E,SMNWR0145,12/7/2017,AMCI,AC-074,64,M,A,4.72,Y,0,1603000198,neg,0,,Recapture; scrape on head,1,0,,
SMNWR_E,SMNWR1601,12/10/2018,AMCI,AC-471,58,U,A,4.71,N,,,,,,,0,0,,
SMNWR_W,SMNWR3001,1/9/2018,AMCI,AC-274,65,U,A,4.70,Y,0,1603000097,neg,0,,"missing toe at position 4, scrape on top of head",1,0,,
SMNWR_E,SMNWR0145,12/6/2017,AMCI,AC-259,66,U,A,4.67,Y,0,1603000301,neg,0,,,0,0,,
SMNWR_E,SMNWR1601,12/18/2019,AMCI,AC-099,59,M,A,4.66,Y,0,1902300193,neg,0,,Recapture; KMO id as AC-009 based on VIE,0,0,,
SMNWR_W,SMNWR3001,11/24/2019,AMCI,AC-497,52,F,A,4.66,Y,0,1902300174,neg,0,,,0,0,,
SMNWR_W,SMNWR3001,11/15/2019,AMCI,AC-488,55,F,A,4.65,Y,0,1902300164,neg,0,,,0,0,,
SMNWR_E,SMNWR1601,12/8/2017,AMCI,AC-235,68,F,A,4.62,Y,0,1603000193,neg,0,,Recapture,0,0,,
SMNWR_E,SMNWR1601,11/2/2017,AMCI,AC-213,61,M,A,4.58,Y,1,1603000420,,,,OUTSIDE TRAP,0,0,,
SMNWR_E,SMNWR1601,12/17/2020,AMCI,AC-098,61,F,A,4.56,Y,0,1903700400,neg,0,,Recapture,0,0,,
SMNWR_E,SMNWR1601,12/6/2017,AMCI,AC-223,59,F,A,4.55,Y,1,1603000289,,,,"Recapture; entered pond gravid 11/10/17, left on next rain 11/19. entered again!",0,0,,
SMNWR_E,SMNWR1601,12/1/2018,AMCI,AC-466,61,M,A,4.53,N,,,,,,,0,0,,
SMNWR_E,SMNWR0145,12/7/2017,AMCI,AC-177,60,M,A,4.52,Y,0,1603000197,neg,0,,Recapture,0,0,,
SMNWR_W,SMNWR3001,2/5/2018,AMCI,AC-R005,69,F,A,4.49,Y,1,1701900002,,,,"Recapture; small but deep scrape on head; OYXX, but could be AC-248 (AC-248, similar SVL, caught last at 3001-5 going in gravid on 11/23/17; retouched position 2 (Y) VIE since it was very faint and mobile w/in body except for 2 tiny pinpricks; no sign of position 3/4 VIE",1,0,,
SMNWR_E,SMNWR1601,12/7/2017,AMCI,AC-260,65,M,A,4.49,Y,1,1603000260,,,,,0,0,,
SMNWR_E,SMNWR1601,11/19/2017,AMCI,AC-223,61,F,A,4.47,Y,1,1603000224,,,,Recapture; AC-223; RECAP from 11/10/17 -2g going out of pond now,0,0,,
SMNWR_E,SMNWR1601,12/7/2017,AMCI,AC-187,64,U,A,4.45,Y,0,1603000188,neg,0,,"Recapture; notch halfway down tail, on top",1,0,,
SMNWR_E,SMNWR1601,11/21/2017,AMCI,AC-064,63,M,A,4.44,Y,1,1603000403,,,,Recapture; scrape on top of head,1,0,,
SMNWR_E,SMNWR1601,11/27/2018,AMCI,AC-462,57,U,A,4.4,N,,,,,,,0,0,,
SMNWR_E,SMNWR0145,12/28/2017,AMCI,AC-273,62,F,A,4.39,Y,0,1603000214,neg,0,,,0,0,,
SMNWR_E,SMNWR1601,3/20/2018,AMCI,ACT-232,50,U,A,4.38,Y,1,1702000009,,,,Recapture; fat and short tail,0,0,,
SMNWR_E,SMNWR0145,11/17/2018,AMCI,AC-459,56,U,A,4.33,N,,,,,,,0,0,,
SMNWR_E,SMNWR1601,11/2/2018,AMCI,AC-212,59,M,A,4.3,N,,,,,,Recapture,0,0,,
