Site,SubSite,Species,CaptureDate,IndividualID,Sex,Age,SVLmm,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
JonesPond,1,ANBO,6/21/2021,147349472A,F,,88,61.2,N,,,,,,Caught during RALU surveys.,0,0,,
JonesPond,1,ANBO,5/10/2021,147349472A,M,,100,83.4,Y,0,2100400084,pos,938.78,21ARMI1060,Gave LR2,0,0,,
JonesPond,1,ANBO,5/11/2021,147349472A,M,,89,79.6,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/13/2021,147349472A,M,,89,77.4,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/10/2021,147349564A,M,,80,62,Y,0,2100400078,neg,0,,"Has LR2, hard to tell",0,0,,
JonesPond,1,ANBO,5/16/2020,147349564A,M,,88,61,Y,0,2001800026,pos,36.43,,,0,0,,
JonesPond,1,ANBO,5/11/2021,147349564A,M,,85,60.5,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/13/2021,147349564A,M,,85,57.4,N,,,,,,Has LR2 (hard to tell),0,0,,
JonesPond,1,ANBO,5/9/2019,147349564A,M,,76,55.7,Y,0,1902400161,neg,0,,,0,0,,
JonesPond,1,ANBO,5/10/2019,147349564A,M,,76,55.7,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/14/2019,147349564A,M,,76,55.7,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/18/2020,147349564A,M,,,,N,,,,,,In amplexus with unmarked toad ,0,0,,
JonesPond,1,ANBO,5/17/2020,147349564A,M,,,,N,,,,,,caught on 5/16/20,0,0,,
JonesPond,1,ANBO,5/25/2020,147349564A,M,,,,N,,,,,,caught on 5/16/20,0,0,,
JonesPond,1,ANBO,5/9/2019,147349754A,M,,72,50.6,Y,0,1902400160,neg,0,,,0,0,,
JonesPond,1,ANBO,5/10/2019,147349754A,M,,72,50.6,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/14/2019,147349754A,M,,72,50.6,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/2/2018,147349754A,M,,67,38.1,Y,0,1800200291,neg,0,18ARMI0714,,0,0,,
JonesPond,1,ANBO,5/3/2018,147349754A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/4/2018,147349754A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/10/2021,147351113A,M,,87,71.1,Y,0,2100400072,neg,0,,Has LR2,0,0,,
JonesPond,1,ANBO,5/11/2021,147351113A,M,,91,69.5,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/13/2021,147351113A,M,,90,64.2,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/16/2020,147351113A,M,,86,57.7,Y,0,2001800025,pos,63.23,,,0,0,,
JonesPond,1,ANBO,5/9/2019,147351113A,M,,78,47.6,Y,0,1902400131,pos,54.31,19ARMI1418,,0,0,,
JonesPond,1,ANBO,5/10/2019,147351113A,M,,78,47.6,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/18/2020,147351113A,M,,,,N,,,,,,In amplexus with unmarked toad ,0,0,,
JonesPond,1,ANBO,5/17/2020,147351113A,M,,,,N,,,,,,caught on 5/16/20,0,0,,
JonesPond,1,ANBO,5/25/2020,147351113A,M,,,,N,,,,,,caught on 5/16/20,0,0,,
JonesPond,1,ANBO,5/18/2020,147351192A,F,,99,104.5,Y,0,2001800108,neg,0,20ARMI0430,clipped left rear toe,0,0,,
JonesPond,1,ANBO,5/10/2021,147351192A,F,,109,103.7,Y,0,2100400070,neg,0,,Has LR2,0,0,,
JonesPond,1,ANBO,5/11/2021,147351192A,F,,,,N,,,,,,mating with male in pond,0,0,,
JonesPond,1,ANBO,5/13/2021,147351192A,F,,,,N,,,,,,mating with male in pond,0,0,,
JonesPond,1,ANBO,5/3/2018,147351221A,M,,83,75.5,Y,0,1800200197,neg,0,18ARMI0595,,0,0,,
JonesPond,1,ANBO,5/4/2018,147351221A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/11/2021,147351250A,M,,74,46.4,N,,,,,,"Has LR2, leech on leg",1,0,,
JonesPond,1,ANBO,5/10/2021,147351250A,M,,79,46.2,Y,0,2100400075,pos,78474.61,21ARMI1043,Gave LR2,0,0,,
JonesPond,1,ANBO,5/13/2021,147351250A,M,,70,44.1,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/3/2018,147351280A,M,,88,79.7,Y,0,1800200216,pos,292.35,18ARMI0575,,0,0,,
JonesPond,1,ANBO,5/4/2018,147351280A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/9/2019,147351320A,M,,84,66.9,Y,0,1902400130,pos,681.50,19ARMI1437,,0,0,,
JonesPond,1,ANBO,5/10/2019,147351320A,M,,84,66.9,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/9/2019,147351464A,M,,87,62.8,Y,0,1902400154,pos,177530.07,,,0,0,,
JonesPond,1,ANBO,5/10/2019,147351464A,M,,87,62.8,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/14/2019,147351464A,M,,87,62.8,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/14/2019,147351464A,M,,87,62.8,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/2/2018,147351464A,M,,74,56.9,Y,0,1800200290,pos,65.60,18ARMI0707,,0,0,,
JonesPond,1,ANBO,5/3/2018,147351464A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/4/2018,147351464A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/2/2018,147351594A,M,,73,43.4,Y,0,1800200287,neg,0,18ARMI0703,,0,0,,
JonesPond,1,ANBO,5/3/2018,147351594A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/4/2018,147351594A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/2/2018,147351617A,M,,81,55.1,Y,0,1800200210,neg,0,18ARMI0617,,0,0,,
JonesPond,1,ANBO,5/3/2018,147351617A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/4/2018,147351617A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/2/2018,147351655A,M,,74,46.4,Y,0,1800200267,pos,13966.87,18ARMI0728,,0,0,,
JonesPond,1,ANBO,5/3/2018,147351655A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/4/2018,147351655A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/17/2020,147352273A,M,,77,37.2,Y,0,2001800016,pos,16370.22,,In amplexus (not swabed) on 5/16/20,0,0,,
JonesPond,1,ANBO,5/9/2019,147352273A,M,,60,33.9,Y,0,1902400142,pos,72906.63,,,0,0,,
JonesPond,1,ANBO,5/10/2019,147352273A,M,,60,33.9,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/2/2018,147352273A,M,,63,32,Y,0,1800200265,neg,0,18ARMI0712,,0,0,,
JonesPond,1,ANBO,5/3/2018,147352273A,M,,,,N,,,,,,,0,0,,
